City,Datetime,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket,Year,Month,Day,Weekday,Pollutant_Index,Anomaly
Delhi,01-01-2015,153.3,241.7,182.9,33,81.3,38.5,1.87,64.5,83.6,325.8,Very Poor,2015,1,1,3,115.22,1
Mumbai,01-01-2015,70.5,312.7,195,42,122.5,31.5,7.22,83.8,108,262.7,Poor,2015,1,1,3,123.4,1
Chennai,01-01-2015,174.1,275.4,56.2,68.8,230.9,28.5,8.56,60.8,43.9,341.8,Very Poor,2015,1,1,3,124.6,1
Kolkata,01-01-2015,477.2,543.9,14.1,76.4,225.9,45.6,2.41,42.1,171.1,206.3,Poor,2015,1,1,3,262.14,1
Bangalore,01-01-2015,171.6,117.7,123.3,12.4,61.9,49.7,1.26,79.7,164.3,339.8,Very Poor,2015,1,1,3,109.14,1
Delhi,02-01-2015,344.2,173.2,179.8,128.4,156.1,15.6,6.28,7.5,9.4,494.2,Severe,2015,1,2,4,132.54,1
Mumbai,02-01-2015,59.2,335.7,182.1,143.8,207.3,44.8,5.81,6.4,145.5,285.7,Poor,2015,1,2,4,138.12,1
Chennai,02-01-2015,418.9,573.8,23.8,17.5,43,22.5,4.49,9.5,198.7,276.4,Poor,2015,1,2,4,243.68,-1
Kolkata,02-01-2015,329.8,599.3,139.1,34,75.2,24.1,3.63,63.4,111.2,479.8,Severe,2015,1,2,4,227.54,1
Bangalore,02-01-2015,22.5,317.5,163,62.4,130.9,46.7,0,59.7,49.8,267.5,Poor,2015,1,2,4,102.38,1
Delhi,03-01-2015,473.9,20.1,12.7,102.7,244.7,42.5,0.04,29.8,42,122.7,Moderate,2015,1,3,5,133.7,1
Mumbai,03-01-2015,191,200.5,21.5,141.3,235.8,8.6,8.54,89,129.8,354.7,Very Poor,2015,1,3,5,150.32,1
Chennai,03-01-2015,86.6,531.8,99.1,92.8,62.4,49.8,1.12,9.9,45.5,188.4,Moderate,2015,1,3,5,153.32,1
Kolkata,03-01-2015,393,422.5,28.9,112.1,149.9,40.6,5.72,3.7,60.8,390.6,Very Poor,2015,1,3,5,198.42,1
Bangalore,03-01-2015,269.3,69.9,195.5,107.3,232,36.4,7.44,12.8,119.4,419.3,Severe,2015,1,3,5,115.74,1
Delhi,04-01-2015,32.4,414.8,198.1,25.6,218.2,13.2,2.47,50.4,80.2,381,Very Poor,2015,1,4,6,120.68,1
Mumbai,04-01-2015,177.3,30.8,164.9,149.3,83.5,37.4,8.63,30.7,75.7,344.2,Very Poor,2015,1,4,6,92.76,1
Chennai,04-01-2015,417,361.9,118.5,145.1,120.8,28.9,6.22,11.4,14.4,314.7,Very Poor,2015,1,4,6,189.96,1
Kolkata,04-01-2015,392,70.4,33.6,127.9,11.8,6.7,5.02,51.4,105.6,147.9,Moderate,2015,1,4,6,149.46,1
Bangalore,04-01-2015,56.1,295.7,121,146.1,53.7,39.8,6.47,59.1,109.1,245.7,Poor,2015,1,4,6,133.22,1
Delhi,05-01-2015,312.8,155.8,143.1,106.8,6.1,4.9,4.04,2,101.3,462.8,Severe,2015,1,5,0,135.74,1
Mumbai,05-01-2015,335.4,582.7,144.2,37.2,130.3,22.9,6.83,91.6,30.9,485.4,Severe,2015,1,5,0,215.56,1
Chennai,05-01-2015,123.3,126,137.4,140.7,214.5,20.8,9.55,68.7,166.5,302.8,Very Poor,2015,1,5,0,125.04,1
